Bin,numerator_loth,numerator_markhvida,numerator_DuNing,numerator_vitor,numerator_markov
103.0,0.00184049541597505,0.046758495849803634,0.05406093673468527,0.030447111618740075,6.061043743587839e-13
104.0,0.001763281646102425,0.04616342547707883,0.05323497153382334,0.030020879146291417,4.691212175482065e-13
105.0,0.001689307374015874,0.04557614694885457,0.052421770819799526,0.02960083852802562,3.6311808755872066e-13
106.0,0.001618436663028057,0.044996554425868446,0.0516211345567588,0.0291868846478721,2.810835582359897e-13
107.0,0.001550539283979666,0.04442454357123445,0.05083286591067595,0.02877891517000498,2.1759422702427507e-13
108.0,0.001485490475137641,0.043860011528041885,0.05005677119503952,0.0283768304086933,1.6845475794723615e-13
109.0,0.001423170712258128,0.043302856897307986,0.049292659817719214,0.027980533206355664,1.3041958388933505e-13
110.0,0.001363465488374924,0.0427529797162782,0.04854034422896365,0.027589928819254466,1.0097772682672366e-13
111.0,0.001306265102894402,0.04221028143706749,0.04779963987048099,0.027204924810304773,7.818640850082785e-14
112.0,0.0012514644595969572,0.04167466490563696,0.04707036512555853,0.026825430948510035,6.054237926865039e-14
113.0,0.0011989628731633002,0.04114603434109987,0.04635234127018118,0.026451359114571124,4.688240779744817e-14
114.0,0.00114866388386059,0.04062429531535137,0.045645392425111904,0.02608262321224706,3.630631742901298e-14
115.0,0.001100475080040403,0.04010935473301644,0.04494934550890009,0.025719139085075796,2.8117456544312694e-14
116.0,0.00105430792811541,0.039601120811710806,0.0442640301917866,0.02536082443809034,2.177665059213604e-14
117.0,0.001010077609696554,0.03909950306260932,0.04358927885047645,0.025007598764191882,1.6866580201597663e-14
118.0,0.00096770286558645,0.03860441227131687,0.0429249265237518,0.024659383274864673,1.3064222907571874e-14
119.0,0.000927105846338087,0.03811576047903677,0.04227081086890069,0.024316100834939763,1.0119531770165348e-14
120.0,0.000888211969100621,0.03763346096403161,0.04162677211893761,0.02397767590113545,7.838938321823054e-15
121.0,0.00085094978048581,0.037157428223371924,0.0409926530405941,0.023644034464120684,6.072587452866023e-15
122.0,0.000815250825200677,0.03668757795496777,0.04036829889305906,0.02331510399386628,4.7044593909746866e-15
123.0,0.0007810495202024311,0.036223827039878614,0.039753557387448984,0.022990813388064177,3.644725333458024e-15
124.0,0.000748283034142633,0.0357660935248972,0.03914827864699003,0.022671092923411452,2.8238312964628e-15
125.0,0.000716891171877101,0.035314296605402584,0.03855231516789497,0.022355874209568714,2.1879192007653008e-15
126.0,0.000686816263828149,0.03486835660847818,0.03796552178091798,0.022045090145616873,1.695282730828476e-15
127.0,0.0006580030599943789,0.034428194976290516,0.03738775561357241,0.021738674878847685,1.3136239654939736e-15
128.0,0.0006303986284122829,0.033993734249724336,0.03681887605299628,0.021436563765735425,1.0179297326141969e-15
129.0,0.000603952257882212,0.033564898052269976,0.03625874470945152,0.021138693334947157,7.888276016645023e-16
130.0,0.000578615364778989,0.03314161107415905,0.035707225380443394,0.020845001252259333,6.113131158343681e-16
131.0,0.000554341403775478,0.03272379905674409,0.03516418401544729,0.020555426287257376,4.737643797065316e-16
132.0,0.00053108578231434,0.03231138877711864,0.034629488681230114,0.02026990828170343,3.6717908528144886e-16
133.0,0.000508805778670368,0.03190430803297352,0.03410300952775471,0.01998838811946538,2.8458373429711842e-16
134.0,0.000487460463452387,0.031502485627685824,0.03358461875465547,0.019710807697907607,2.2057617023926063e-16
135.0,0.00046701062440022403,0.031105851355636607,0.03307419057827416,0.019437109900650822,1.709713206516246e-16
136.0,0.000447418694338096,0.030714335987753638,0.032571601199245084,0.0191672385716145,1.3252685060204906e-16
137.0,0.000428648682151926,0.030327871257275794,0.03207672877061937,0.018901138490261652,1.0273069104476321e-16
138.0,0.000410666106663413,0.029946389845735343,0.03158945336651803,0.018638755347970694,7.963647914023992e-17
139.0,0.000393437933279322,0.029569825369154704,0.031109656951304035,0.01838003572546494,6.173610040851415e-17
140.0,0.000376932513299163,0.029198112364454118,0.03063722334926427,0.0181249270712343,4.786096305893688e-17
141.0,0.00036111952576995196,0.02883118627606712,0.030172038214791464,0.01787337768088862,3.710552401259483e-17
142.0,0.00034596992178082204,0.02846898344276009,0.02971398900305764,0.017625336677386208,2.876804862918857e-17
143.0,0.000331455871095146,0.02811144108465312,0.029262964941169946,0.017380753992084608,2.2304718396452428e-17
144.0,0.000317550711022032,0.027758497290438434,0.02881885699980064,0.017139580346564563,1.7294077458408753e-17
145.0,0.000304228897433153,0.027410091004793653,0.02838155786528248,0.016901767235181303,1.3409487597912866e-17
146.0,0.00029146595783488,0.027066162015986533,0.027950961912161655,0.016667266908300237,1.0397786843601611e-17
147.0,0.000279238446409432,0.02672665094366824,0.027526965176200225,0.016436032356177285,8.06275383445532e-18
148.0,0.00026752390094236903,0.02639149922685204,0.0271094653278202,0.01620801729344648,6.252295222807474e-18
149.0,0.000256300801557285,0.026060649112074678,0.026698361645981696,0.015983176144180038,4.848517455502375e-18
150.0,0.000245548531181864,0.02573404364173718,0.026293554992487658,0.015761464027488466,3.760033287930978e-18
