Bin,numerator_loth,numerator_markhvida,numerator_DuNing,numerator_vitor
51.0,0.07434911568376301,0.12908196223555307,0.15569065023238396,0.09783715994806157
52.0,0.07374456670896713,0.12815450699950456,0.15422853325969862,0.0970118024386817
53.0,0.07316585009478875,0.127240136824683,0.152789226647339,0.09621159059238281
54.0,0.07261181659566544,0.12633864445327878,0.15137233788574578,0.09543551348203519
55.0,0.07208137430708365,0.12544982842612873,0.1499774852297851,0.09468260794766517
56.0,0.07157348498853836,0.12457349252213903,0.14860429696039115,0.0939519561456244
57.0,0.07108716071785842,0.12370944529169306,0.14725241073036213,0.09324268322861257
58.0,0.07062146083832666,0.12285749966704101,0.14592147298335564,0.09255395514948457
59.0,0.07017548916507794,0.12201747263577625,0.14461113843664067,0.09188497658214943
60.0,0.06974839142162252,0.12118918496603798,0.14332106961945482,0.09123498895322454
61.0,0.06933935288111007,0.12037246097415227,0.14205093645992098,0.09060326857844807
62.0,0.06894759619020677,0.11956712832711582,0.1408004159144269,0.08998912489817375
63.0,0.06857237935627086,0.11877301787370835,0.13956919163418463,0.08939189880657741
64.0,0.06821299388094632,0.11798996349915117,0.1383569536643873,0.08881096106949386
65.0,0.06786876302539921,0.11721780199915173,0.13716339817198325,0.08824571082607761
66.0,0.06753904019424398,0.11645637296992994,0.13598822719860723,0.08769557416974036
67.0,0.06722320742678459,0.1157055187114391,0.13483114843565577,0.08716000280406527
68.0,0.06692067398556455,0.11496508414149925,0.13369187501888344,0.08663847276963114
69.0,0.06663087503340502,0.11423491671897418,0.13257012534022958,0.08613048323790118
70.0,0.06635327039114161,0.11351486637446019,0.13146562287487693,0.08563555536854009
71.0,0.066087343369164,0.1128047854472321,0.13037809602179523,0.08515323122672185
72.0,0.06583259966664166,0.11210452862741746,0.1293072779562411,0.0846830727571782
73.0,0.06558856633299574,0.11141395290255497,0.1282529064928761,0.08422466081191515
74.0,0.0653547907867679,0.11073291750784497,0.127214723958329,0.0837775942286936
75.0,0.0651308398875518,0.11006128387952324,0.12619247707217462,0.08334148895752824
