Bin,Correlation_loth,Correlation_markhvida,Correlation_DuNing,Correlation_vitor,Correlation_markov
46.0,0.07597615106913809,0.26890755811382006,0.3968987991813639,0.16975421757903858,0.005921055777602256
47.0,0.07275827260813089,0.26528261323357333,0.390820822442398,0.1658746963942174,0.005313575851627425
48.0,0.06967964454739559,0.2617094731553717,0.38483874109785476,0.16211945277435746,0.004768720049092537
49.0,0.0667338324355242,0.2581872293282091,0.3789507831424062,0.1584833106719849,0.0042799942673318785
50.0,0.06391475430942847,0.254715012958654,0.373155238961854,0.15496134353613533,0.003841582894934772
51.0,0.061216654408027586,0.25129198972334726,0.36745045596639386,0.15154886138597629,0.003448277235794967
52.0,0.05863407959039145,0.24791735541459176,0.3618348338863629,0.1482413985758949,0.0030954115806733837
53.0,0.05616185812176789,0.24459033234876468,0.356306820640298,0.1450347022149337,0.00277880609515792
54.0,0.053795080536137664,0.2413101663985636,0.3508649086980973,0.14192472120542068,0.0024947157853105863
55.0,0.05152908232290254,0.2380761245356141,0.34550763187310035,0.13890759586745072,0.0022397848841261654
56.0,0.04935942821892479,0.23488749279075727,0.34023356248624037,0.13597964811765134,0.0020110060743999338
57.0,0.04728189791612808,0.23174357455630806,0.3350413088534155,0.1331373721723127,0.001805684027880148
58.0,0.04529247301988861,0.22864368916842234,0.3299295130539938,0.13037742574656797,0.0016214027975738298
59.0,0.0433873251150394,0.22558717071900794,0.32489684894419596,0.1276966217227876,0.0014559966506873482
60.0,0.04156280481494375,0.22257336705584993,0.31994202038404157,0.12509192026281354,0.0013075239746012596
61.0,0.03981543168520375,0.21960163893714987,0.31506375965079986,0.12256042133998472,0.0011742439282209803
62.0,0.03814188494747479,0.2166713593128423,0.3102608260155304,0.12009935766821847,0.001054595546531035
63.0,0.036538994880870306,0.21378191271008437,0.30553200446242296,0.11770608800662738,0.0009471790377424425
64.0,0.035003734848859505,0.21093269470441486,0.30087610453333413,0.1153780908192986,0.000850739040524243
65.0,0.03353321388851975,0.20812311146145407,0.29629195928223573,0.11311295827098826,0.0007641496337933188
66.0,0.03212466980682835,0.2053525793367533,0.29177842432628637,0.110908390540496,0.0006864009138195751
67.0,0.030775462735391185,0.20262052452365636,0.28733437698195474,0.10876219043450074,0.0006165869732184774
68.0,0.029483069100861226,0.19992638274086397,0.2829587154761116,0.10667225828554938,0.0005538951340922983
69.0,0.02824507597337782,0.1972695989529077,0.2786503582233083,0.10463658711879663,0.0004975963033202836
70.0,0.02705917575973444,0.1946496271179535,0.2744082431615486,0.10265325807292042,0.000447036332062757
71.0,0.025923161211830886,0.19206592995837266,0.2702313271398602,0.10072043606144218,0.0004016282740622065
72.0,0.024834920724270966,0.18951797875033918,0.266118585351782,0.09883636566141789,0.0003608454485133055
73.0,0.023792433897872046,0.18700525312937688,0.2620690108096355,0.09699936721719936,0.00032421522325061145
74.0,0.022793767348365652,0.1845272409093401,0.2580816138550694,0.09520783314762216,0.0002913134429067569
75.0,0.021837070741779346,0.18208343791276094,0.2541554217019285,0.09346022444561387,0.00026175943465580286
76.0,0.020920573039906108,0.17967334781085978,0.25028947800797335,0.09175506735983527,0.0002352115312545514
77.0,0.020042578940948876,0.17729648197182418,0.2464828424724007,0.09009095024851466,0.00021136305744499194
78.0,0.01920146550190938,0.17495235931620737,0.2427345904564856,0.08846652059619164,0.00018993873145067546
79.0,0.018395678930577065,0.17264050617849164,0.23904381262497584,0.08688048218459242,0.00017069143836914453
80.0,0.017623731536121012,0.1703604561740479,0.23540961460616597,0.08533159240933107,0.00015339933679257533
81.0,0.016884198828278688,0.16811175007083012,0.23183111666881012,0.08381865973460173,0.00013786326404020474
82.0,0.016175716756036924,0.16589393566528557,0.22830745341425368,0.0823405412784462,0.00012390440900813437
83.0,0.015496979077464116,0.16370656766202496,0.2248377734823555,0.08089614052159047,0.00011136222488207189
84.0,0.014846734853068394,0.16154920755689184,0.2214212392699335,0.07948440513323334,0.00010009255685664627
85.0,0.014223786055659127,0.1594214235231218,0.21805702666061236,0.07810432490752625,8.996596259785682e-05
86.0,0.013626985290239847,0.15732279030033522,0.21474432476508354,0.07675492980483292,8.086620550537987e-05
87.0,0.013055233617966018,0.15525288908614734,0.21148233567089386,0.07543528809217434,7.26889029078886e-05
88.0,0.01250747847862272,0.15321130743021127,0.20827027420098682,0.07414450457758551,6.534031318309436e-05
